# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/eco_gff.gff" "-o" "counts/eco_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/eco_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/eco_glyc_1Aligned.sortedByCoord.out.bam
cds-BAB33506.1	BA000007.3	92466	92552	+	87	15
cds-BAB33507.1	BA000007.3	92634	93638	+	1005	1218
cds-BAB33508.1	BA000007.3	94240	94698	+	459	1874
cds-BAB33509.1	BA000007.3	94700	95641	+	942	1794
cds-BAB33510.1	BA000007.3	95638	96003	+	366	659
cds-BAB33511.1	BA000007.3	96019	97785	+	1767	48276
cds-BAB33512.1	BA000007.3	97772	99259	+	1488	3256
cds-BAB33513.1	BA000007.3	99256	100614	+	1359	2070
cds-BAB33514.1	BA000007.3	100608	101690	+	1083	1369
cds-BAB33515.1	BA000007.3	101693	103009	+	1317	1910
cds-BAB33516.1	BA000007.3	103009	104253	+	1245	2118
cds-BAB33517.1	BA000007.3	104250	105317	+	1068	1591
cds-BAB33518.1	BA000007.3	105371	106846	+	1476	2083
cds-BAB33519.1	BA000007.3	106839	107759	+	921	1555
cds-BAB33520.1	BA000007.3	107761	108591	+	831	2034
cds-BAB33521.1	BA000007.3	108588	109850	+	1263	4015
cds-BAB33522.1	BA000007.3	109911	111062	+	1152	6359
cds-BAB33523.1	BA000007.3	111163	112080	+	918	9667
cds-BAB33524.2	BA000007.3	112311	112823	+	513	1610
cds-BAB33525.1	BA000007.3	112885	115590	+	2706	8203
cds-BAB33526.1	BA000007.3	115650	116048	+	399	268
cds-BAB33528.1	BA000007.3	116139	116336	-	198	393
cds-BAB33529.1	BA000007.3	116346	117089	-	744	861
cds-BAB33530.1	BA000007.3	117089	117709	-	621	728
cds-BAB33531.1	BA000007.3	117934	118977	+	1044	828
cds-BAB33533.1	BA000007.3	119012	120214	-	1203	169
cds-BAB33534.1	BA000007.3	120204	121589	-	1386	221
cds-BAB33535.1	BA000007.3	121599	122039	-	441	21
cds-BAB33536.1	BA000007.3	122242	123135	-	894	1177
cds-BAB33537.1	BA000007.3	123223	123774	+	552	211
cds-BAB33538.1	BA000007.3	123771	124625	+	855	144
cds-BAB33539.2	BA000007.3	124668	126038	-	1371	370
cds-BAB33540.1	BA000007.3	126582	127346	+	765	1808
cds-BAB33541.1	BA000007.3	127507	130170	+	2664	34163
cds-BAB33542.1	BA000007.3	130185	132077	+	1893	16775
cds-BAB33543.1	BA000007.3	132285	133709	+	1425	16610
cds-BAB33544.1	BA000007.3	133780	135633	-	1854	80
cds-BAB33545.1	BA000007.3	135988	138585	+	2598	12592
cds-BAB33546.2	BA000007.3	138761	139123	+	363	1085
cds-BAB33547.1	BA000007.3	139161	139955	-	795	687
cds-BAB33548.1	BA000007.3	139971	140837	-	867	916
cds-BAB33549.2	BA000007.3	140943	141251	-	309	359
cds-BAB33550.1	BA000007.3	141456	143006	+	1551	542
cds-BAB33551.1	BA000007.3	143208	145598	-	2391	2201
cds-BAB33552.2	BA000007.3	145804	146340	+	537	1322
cds-BAB33553.1	BA000007.3	146381	147043	-	663	8132
cds-BAB33554.1	BA000007.3	147152	148078	+	927	405
cds-BAB33555.1	BA000007.3	148075	148845	+	771	320
cds-BAB33556.1	BA000007.3	148950	149390	+	441	111
cds-BAB33557.1	BA000007.3	149454	150683	+	1230	347
cds-BAB33558.1	BA000007.3	150687	151067	-	381	1158
cds-BAB33559.1	BA000007.3	151341	152237	+	897	925
cds-BAB33560.1	BA000007.3	152536	153387	-	852	2126
cds-BAB33561.1	BA000007.3	153399	154193	-	795	1069
cds-BAB33562.1	BA000007.3	154328	155437	-	1110	2
cds-BAB33563.1	BA000007.3	155449	156039	-	591	1
cds-BAB33564.1	BA000007.3	156060	156665	-	606	1
cds-BAB33565.2	BA000007.3	156680	157228	-	549	0
cds-BAB33566.1	BA000007.3	157242	159842	-	2601	0
cds-BAB33567.1	BA000007.3	159884	160609	-	726	0
cds-BAB33568.1	BA000007.3	160696	161292	-	597	2
cds-BAB33569.1	BA000007.3	161573	162055	-	483	213
cds-BAB33570.2	BA000007.3	162052	163449	-	1398	3011
cds-BAB33571.1	BA000007.3	163509	164435	-	927	359
cds-BAB33572.1	BA000007.3	164472	164927	-	456	1799
cds-BAB33573.1	BA000007.3	165105	165809	-	705	1662
cds-BAB33574.2	BA000007.3	165824	166354	-	531	165
cds-BAB33575.2	BA000007.3	166428	168857	+	2430	1337
cds-BAB33576.1	BA000007.3	169053	171587	+	2535	3010
cds-BAB33577.1	BA000007.3	171807	174050	+	2244	1053
cds-BAB33578.1	BA000007.3	174101	174898	+	798	106
cds-BAB33579.1	BA000007.3	174898	175788	+	891	115
cds-BAB33580.1	BA000007.3	175785	177767	+	1983	135
cds-BAB33581.1	BA000007.3	177802	179082	-	1281	1382
cds-BAB33582.1	BA000007.3	179307	180728	+	1422	1479
cds-BAB33583.1	BA000007.3	180810	181154	+	345	3811
cds-BAB33584.1	BA000007.3	181201	181824	-	624	306
cds-BAB33585.1	BA000007.3	181862	182662	-	801	209
cds-BAB33586.1	BA000007.3	182655	183353	-	699	1260
cds-BAB33587.1	BA000007.3	183437	184954	+	1518	228
cds-BAB33588.1	BA000007.3	185084	186508	+	1425	1492
cds-BAB33589.1	BA000007.3	186663	187820	+	1158	148
cds-BAB33590.1	BA000007.3	187909	188295	-	387	440
cds-BAB33591.1	BA000007.3	188610	189434	-	825	1375
cds-BAB33592.1	BA000007.3	189465	192137	-	2673	1266
cds-BAB33593.1	BA000007.3	192199	192993	-	795	6810
cds-BAB33594.1	BA000007.3	193361	194086	+	726	26275
cds-BAB33595.1	BA000007.3	194344	195195	+	852	15554
cds-BAB33596.1	BA000007.3	195342	196067	+	726	2548
cds-BAB33597.1	BA000007.3	196217	196774	+	558	4547
cds-BAB33598.1	BA000007.3	196866	198062	+	1197	2266
cds-BAB33599.2	BA000007.3	198251	199009	+	759	3164
cds-BAB33600.2	BA000007.3	199052	199879	+	828	1515
cds-BAB33601.1	BA000007.3	199891	201243	+	1353	4782
cds-BAB33602.1	BA000007.3	201273	203705	+	2433	12661
cds-BAB33603.1	BA000007.3	203826	204311	+	486	6317
cds-BAB33604.1	BA000007.3	204315	205340	+	1026	10432
cds-BAB33605.2	BA000007.3	205445	205900	+	456	3498
cds-BAB33606.1	BA000007.3	205904	206692	+	789	2755
cds-BAB33607.1	BA000007.3	206692	207840	+	1149	1155
cds-BAB33608.1	BA000007.3	207837	208433	+	597	597
cds-BAB33609.1	BA000007.3	208470	211952	+	3483	3960
cds-BAB33610.1	BA000007.3	211965	212924	+	960	2849
cds-BAB33611.1	BA000007.3	213023	215164	+	2142	742
cds-BAB33612.2	BA000007.3	215221	215610	+	390	331
cds-BAB33613.1	BA000007.3	215675	216970	+	1296	788
cds-BAB33614.1	BA000007.3	217023	217283	-	261	327
cds-BBE29393.1	BA000007.3	217270	217470	-	201	432
cds-BAB33615.1	BA000007.3	217636	218094	+	459	602
cds-BAB33616.1	BA000007.3	218178	218588	+	411	398
cds-BAB33617.1	BA000007.3	218602	219312	+	711	732
cds-BAB33618.1	BA000007.3	219512	220336	-	825	215
cds-BAB33619.1	BA000007.3	220389	222107	-	1719	10888
cds-BAB33620.1	BA000007.3	222218	222925	-	708	235
cds-BAB33621.1	BA000007.3	222922	223326	-	405	473
cds-BAB33622.1	BA000007.3	223444	224259	-	816	639
cds-BAB33623.1	BA000007.3	224299	224952	-	654	269
cds-BAB33624.1	BA000007.3	224945	225976	-	1032	560
cds-BAB33625.1	BA000007.3	226164	226739	+	576	1120
cds-BAB33626.1	BA000007.3	232497	233300	+	804	634
cds-BAB33627.1	BA000007.3	233297	234211	-	915	181
cds-BAB33628.2	BA000007.3	234473	235252	+	780	961
cds-BAB33629.1	BA000007.3	235330	236100	+	771	1308
cds-BAB33630.1	BA000007.3	236148	237506	-	1359	2511
cds-BAB33631.1	BA000007.3	237578	238333	-	756	251
cds-BAB33632.2	BA000007.3	238367	239089	+	723	289
cds-BAB33633.1	BA000007.3	239086	239553	-	468	511
cds-BAB33634.2	BA000007.3	239609	240349	+	741	858
cds-BBE29394.1	BA000007.3	240887	241687	+	801	86
cds-BAB33635.1	BA000007.3	241872	242168	-	297	0
cds-BAB33636.1	BA000007.3	242165	242614	-	450	3
cds-BAB33637.2	BA000007.3	242617	243213	-	597	3
cds-BAB33638.1	BA000007.3	243292	243513	-	222	0
cds-BAB33639.1	BA000007.3	243534	244013	-	480	0
cds-BAB33640.1	BA000007.3	243979	245388	-	1410	6
cds-BAB33641.2	BA000007.3	245399	248833	-	3435	2
cds-ECs_0219	BA000007.3	248970	250381	-	1412	5
cds-BAB33645.1	BA000007.3	250386	251129	-	744	1
cds-BAB33646.1	BA000007.3	251126	253897	-	2772	3
cds-BAB33647.1	BA000007.3	253906	254667	-	762	0
cds-BAB33648.1	BA000007.3	254672	256003	-	1332	0
cds-BAB33649.1	BA000007.3	256006	256530	-	525	0
cds-BAB33650.1	BA000007.3	256527	257807	-	1281	1
cds-BAB33651.1	BA000007.3	257832	258914	-	1083	3
cds-BAB33652.1	BA000007.3	258878	260728	-	1851	2
cds-BAB33653.1	BA000007.3	260732	261145	-	414	0
cds-BAB33654.1	BA000007.3	261236	262627	-	1392	2
cds-BAB33655.1	BA000007.3	262678	262902	-	225	1
cds-BAB33656.1	BA000007.3	262937	263437	-	501	0
cds-BAB33657.1	BA000007.3	264134	264652	+	519	0
cds-BAB33659.1	BA000007.3	264862	267003	+	2142	5
cds-BAB33660.2	BA000007.3	267079	271293	+	4215	10
cds-BAB33661.2	BA000007.3	271362	271907	+	546	0
cds-BAB33664.1	BA000007.3	272653	273789	+	1137	13
cds-BAB33665.1	BA000007.3	273792	275552	+	1761	194
cds-BAB33666.1	BA000007.3	275536	275706	+	171	21
cds-BAB33667.1	BA000007.3	275754	276017	+	264	218
cds-BAB33668.1	BA000007.3	276198	277370	+	1173	162
cds-BAB33669.1	BA000007.3	277488	278258	-	771	245
cds-BAB33670.2	BA000007.3	278439	278885	+	447	4188
cds-BAB33671.2	BA000007.3	278928	281372	-	2445	209
cds-BAB33672.1	BA000007.3	281612	282190	+	579	1015
cds-BAB33673.1	BA000007.3	282295	283062	+	768	775
cds-BAB33674.1	BA000007.3	283033	283773	-	741	2522
cds-BAB33675.1	BA000007.3	283929	284189	-	261	167
cds-BAB33676.1	BA000007.3	284208	284468	-	261	676
cds-BAB33677.2	BA000007.3	284654	285427	+	774	217
cds-ECs_0255	BA000007.3	285603	285899	+	297	33
cds-BAB33680.2	BA000007.3	286245	287984	-	1740	28
cds-BAB33679.2	BA000007.3	288079	288714	+	636	1098
cds-BAB33681.1	BA000007.3	288785	289840	+	1056	474
cds-BAB33682.1	BA000007.3	289892	290185	+	294	116
cds-BAB33683.1	BA000007.3	290188	290586	+	399	121
cds-BAB33684.2	BA000007.3	290671	291048	+	378	49
cds-BAB33685.1	BA000007.3	291355	291621	+	267	11
cds-BAB33686.1	BA000007.3	291590	292090	+	501	29
cds-BAB33687.1	BA000007.3	292147	293604	-	1458	3771
cds-BAB33688.1	BA000007.3	293865	294323	+	459	2421
cds-BAB33689.1	BA000007.3	294415	295659	+	1245	1343
cds-BAB33690.1	BA000007.3	295717	296118	+	402	808
cds-BAB33691.1	BA000007.3	296157	297212	-	1056	45
cds-BAB33692.1	BA000007.3	297500	298603	+	1104	1353
cds-BAB33693.1	BA000007.3	298615	299868	+	1254	1476
cds-ECs_0271	BA000007.3	300073	301047	-	975	372
cds-BAB33695.1	BA000007.3	300938	301183	-	246	0
cds-BAB33696.1	BA000007.3	301423	301812	-	390	6
cds-BAB33697.1	BA000007.3	301940	302653	-	714	1
cds-BAB33698.1	BA000007.3	302754	302954	+	201	0
cds-BAB33699.1	BA000007.3	303073	303366	+	294	0
cds-ECs_0277	BA000007.3	303399	304321	+	923	0
cds-ECs_0279	BA000007.3	304318	304629	+	312	1
cds-BAB33703.1	BA000007.3	304629	305423	+	795	4
cds-BAB33704.1	BA000007.3	305423	306016	+	594	52
cds-BAB33705.1	BA000007.3	305988	306431	-	444	6
cds-BAB33706.1	BA000007.3	306452	306862	-	411	1
cds-BAB33707.1	BA000007.3	306892	307446	+	555	27
cds-BAB33708.1	BA000007.3	307504	308277	-	774	2
cds-BAB33710.1	BA000007.3	309101	309844	+	744	2
cds-BAB33711.1	BA000007.3	309886	310239	-	354	0
cds-BAB33712.1	BA000007.3	310807	311988	+	1182	4
cds-BAB33713.1	BA000007.3	311992	312408	+	417	0
cds-BAB33714.1	BA000007.3	312381	312998	+	618	0
cds-BAB33715.1	BA000007.3	312998	313456	+	459	0
cds-ECs_0293	BA000007.3	313449	315268	+	1820	5
cds-BAB33719.1	BA000007.3	315678	315950	-	273	2
cds-BAB33720.1	BA000007.3	315956	316507	-	552	0
cds-BAB33721.1	BA000007.3	316504	317256	-	753	0
cds-BAB33722.1	BA000007.3	318190	318450	+	261	0
cds-BAB33723.1	BA000007.3	318447	319004	+	558	0
cds-BAB33724.1	BA000007.3	319001	319222	+	222	0
cds-BAB33725.1	BA000007.3	319222	319545	+	324	0
cds-BAB33726.1	BA000007.3	319559	321892	+	2334	2
cds-BAB33727.1	BA000007.3	322025	322981	-	957	0
cds-BAB33728.2	BA000007.3	323657	324556	-	900	59
cds-BAB33729.1	BA000007.3	324655	325377	+	723	0
cds-BAB33730.1	BA000007.3	325544	325822	+	279	3
cds-BAB33732.1	BA000007.3	326525	327427	-	903	1
cds-BAB33733.2	BA000007.3	327673	328731	+	1059	7
cds-BAB33734.2	BA000007.3	328873	330000	+	1128	0
cds-BAB33736.1	BA000007.3	330179	331135	-	957	45
cds-BAB33737.1	BA000007.3	331145	333343	-	2199	64
cds-BAB33738.1	BA000007.3	333340	334296	-	957	21
cds-BAB33739.1	BA000007.3	334293	334982	-	690	34
cds-BAB33740.1	BA000007.3	335400	336014	+	615	190
cds-BAB33742.2	BA000007.3	336904	337614	-	711	71
cds-BAB33743.1	BA000007.3	337583	339226	-	1644	246
cds-BAB33744.1	BA000007.3	339216	341741	-	2526	108
cds-BAB33745.1	BA000007.3	341767	342435	-	669	10
cds-BAB33746.1	BA000007.3	342493	343080	-	588	60
cds-BAB33747.2	BA000007.3	343155	343697	-	543	6
cds-BAB33749.1	BA000007.3	344522	344713	+	192	159
cds-BBE29395.1	BA000007.3	344783	344923	-	141	15
cds-BAB33750.2	BA000007.3	344923	345189	-	267	71
cds-BAB33751.2	BA000007.3	345450	345830	+	381	0
cds-BAB33752.1	BA000007.3	345827	346174	+	348	0
cds-BAB33753.1	BA000007.3	346224	347762	+	1539	4
cds-BAB33754.1	BA000007.3	348574	349716	-	1143	16
cds-BAB33755.1	BA000007.3	349951	350871	-	921	0
cds-BAB33756.1	BA000007.3	351028	351954	+	927	1
cds-BAB33757.1	BA000007.3	352242	352598	-	357	0
cds-BAB33758.1	BA000007.3	352791	353366	-	576	0
cds-BAB33759.1	BA000007.3	353932	358185	+	4254	6
cds-BAB33760.2	BA000007.3	358306	359163	-	858	73
cds-BAB33761.1	BA000007.3	359412	360281	+	870	9
cds-BAB33762.1	BA000007.3	360441	361034	-	594	14
cds-BAB33765.2	BA000007.3	361391	362716	-	1326	36
cds-BAB33766.1	BA000007.3	362942	363796	+	855	28
cds-BAB33767.1	BA000007.3	364323	365042	+	720	39
cds-BAB33768.1	BA000007.3	365053	366480	+	1428	111
cds-BAB33769.2	BA000007.3	366473	367168	+	696	109
cds-ECs_0348	BA000007.3	367663	368079	-	417	25
cds-BAB33772.2	BA000007.3	368261	368473	-	213	0
cds-BAB33773.1	BA000007.3	368427	369521	-	1095	2
cds-BAB33774.1	BA000007.3	369563	370324	-	762	0
cds-BAB33775.2	BA000007.3	371105	371272	-	168	1
cds-ECs_0355	BA000007.3	371781	372221	-	441	3
cds-BAB33779.1	BA000007.3	372408	372542	+	135	0
cds-BAB33780.1	BA000007.3	373224	374912	-	1689	532
cds-BAB33781.2	BA000007.3	374926	376398	-	1473	886
cds-BAB33782.1	BA000007.3	376412	376999	-	588	811
cds-BAB33783.1	BA000007.3	377128	379161	+	2034	686
cds-BAB33785.1	BA000007.3	379735	383718	+	3984	14
cds-BAB33786.1	BA000007.3	383860	384948	+	1089	194
cds-ECs_0364	BA000007.3	384990	385921	-	932	167
cds-BAB33789.1	BA000007.3	386013	386315	-	303	11
cds-BAB33790.1	BA000007.3	386778	387383	+	606	7
cds-BAB33791.1	BA000007.3	387423	388286	+	864	2
cds-BAB33792.1	BA000007.3	388276	389823	+	1548	14
cds-BAB33793.1	BA000007.3	389823	391241	+	1419	29
cds-BAB33794.1	BA000007.3	391267	391587	+	321	6
cds-BAB33795.1	BA000007.3	391756	392706	+	951	18
cds-BAB33796.1	BA000007.3	392716	394098	+	1383	502
cds-BBE29396.1	BA000007.3	394397	394807	+	411	2
cds-BAB33797.1	BA000007.3	395058	396044	+	987	3
cds-BAB33798.2	BA000007.3	396399	397577	+	1179	3
cds-BAB33800.1	BA000007.3	397570	398541	+	972	1
cds-BAB33801.1	BA000007.3	398538	399494	+	957	22
cds-BAB33802.1	BA000007.3	399581	400630	+	1050	513
cds-BAB33803.1	BA000007.3	400873	401688	+	816	44
cds-BAB33805.2	BA000007.3	402366	402998	-	633	40
cds-BAB33806.1	BA000007.3	403184	403459	+	276	813
cds-BAB33807.1	BA000007.3	403557	405143	-	1587	61
cds-BAB33808.1	BA000007.3	405382	406272	+	891	14
cds-BAB33809.1	BA000007.3	406428	407597	+	1170	13
cds-BAB33810.1	BA000007.3	407631	409082	+	1452	14
cds-BAB33811.1	BA000007.3	409122	411008	+	1887	46
cds-BAB33812.1	BA000007.3	411902	413161	+	1260	167
cds-BAB33813.1	BA000007.3	413151	414434	+	1284	774
cds-BAB33814.1	BA000007.3	414567	415466	-	900	117
cds-BAB33815.2	BA000007.3	415576	416235	+	660	45
cds-BAB33816.1	BA000007.3	416266	416736	+	471	76
cds-BAB33817.2	BA000007.3	416742	417923	+	1182	125
cds-BAB33818.1	BA000007.3	418026	418637	-	612	12
cds-BAB33819.1	BA000007.3	418703	419956	-	1254	12
cds-BAB33820.1	BA000007.3	420008	423082	-	3075	18
cds-BAB33821.2	BA000007.3	423205	424296	-	1092	543
cds-BAB33822.1	BA000007.3	424324	425277	-	954	1
cds-BAB33823.2	BA000007.3	425297	426073	-	777	7
cds-BAB33824.1	BA000007.3	426188	427135	-	948	175
cds-BAB33825.1	BA000007.3	427212	428876	+	1665	15
cds-BAB33826.1	BA000007.3	428878	429822	+	945	3
cds-BAB33827.2	BA000007.3	429840	430706	+	867	143
cds-BAB33828.2	BA000007.3	430716	431525	+	810	305
cds-BAB33829.1	BA000007.3	431522	432472	+	951	231
cds-BAB33830.1	BA000007.3	432469	433482	+	1014	258
cds-BAB33831.2	BA000007.3	433658	434869	+	1212	66
cds-BAB33832.2	BA000007.3	434971	435510	+	540	551
cds-BAB33833.1	BA000007.3	435635	436468	-	834	3740
cds-BAB33834.1	BA000007.3	436561	437670	-	1110	9091
cds-BAB33835.2	BA000007.3	437705	437980	-	276	2667
cds-BAB33836.2	BA000007.3	438140	439186	-	1047	25
cds-BAB33837.1	BA000007.3	439198	441276	-	2079	14
cds-BAB33838.1	BA000007.3	441345	442376	-	1032	9
cds-BAB33839.1	BA000007.3	442373	443677	-	1305	1
cds-BAB33840.1	BA000007.3	443762	445303	-	1542	2
cds-BAB33841.1	BA000007.3	445303	445932	-	630	1
cds-BAB33842.1	BA000007.3	446235	447197	+	963	242
cds-BAB33843.1	BA000007.3	447210	447977	+	768	233
cds-BAB33844.1	BA000007.3	447974	448801	+	828	127
cds-BAB33845.1	BA000007.3	448798	449649	+	852	176
cds-BAB33846.2	BA000007.3	449756	450730	-	975	1825
cds-BAB33847.1	BA000007.3	451256	454198	+	2943	97
cds-BAB33848.2	BA000007.3	454286	454909	+	624	62
cds-BAB33849.1	BA000007.3	454910	456067	-	1158	716
cds-BAB33850.1	BA000007.3	456419	457639	+	1221	679
cds-BAB33851.1	BA000007.3	457652	458746	+	1095	882
cds-BAB33852.1	BA000007.3	458805	459113	-	309	306
cds-BAB33853.2	BA000007.3	459373	459585	+	213	90
cds-BAB33854.1	BA000007.3	459609	460703	-	1095	2051
cds-BAB33855.1	BA000007.3	461166	461426	+	261	490
cds-BAB33856.2	BA000007.3	461527	462942	+	1416	291
cds-BAB33857.2	BA000007.3	463061	463381	+	321	229
cds-BAB33858.1	BA000007.3	463483	464598	+	1116	79
cds-BAB33860.2	BA000007.3	464615	465424	-	810	372
cds-BAB33859.2	BA000007.3	465544	466002	+	459	517
cds-BAB33861.1	BA000007.3	466185	466709	+	525	934
cds-BAB33862.1	BA000007.3	466759	466950	+	192	776
cds-BAB33863.1	BA000007.3	467208	467885	+	678	316
cds-BAB33864.1	BA000007.3	467957	468241	+	285	193
cds-BAB33865.2	BA000007.3	468385	470664	+	2280	71
cds-BAB33866.1	BA000007.3	470661	471110	+	450	20
cds-BAB33868.2	BA000007.3	471195	472172	-	978	1320
cds-BAB33867.2	BA000007.3	472231	473139	+	909	279
cds-BAB33869.2	BA000007.3	473282	474550	-	1269	230
cds-BAB33870.2	BA000007.3	474592	477735	-	3144	712
cds-BAB33871.1	BA000007.3	477732	478934	-	1203	517
cds-BAB33872.1	BA000007.3	479124	479813	+	690	252
cds-BAB33873.1	BA000007.3	479871	481166	+	1296	348
cds-BAB33874.1	BA000007.3	481573	482892	+	1320	1083
cds-BAB33875.1	BA000007.3	482968	484341	+	1374	963
cds-BAB33876.1	BA000007.3	484497	486314	+	1818	308
cds-BAB33877.1	BA000007.3	486502	487947	+	1446	9
cds-BAB33878.1	BA000007.3	487968	488549	-	582	163
cds-BAB33879.1	BA000007.3	488642	489712	+	1071	1056
cds-BAB33880.1	BA000007.3	489767	490894	+	1128	4598
cds-BAB33881.1	BA000007.3	490917	491249	+	333	1969
cds-BAB33882.2	BA000007.3	491310	493124	+	1815	4685
cds-BAB33883.1	BA000007.3	493135	494106	+	972	3357
cds-BAB33884.1	BA000007.3	494257	494499	+	243	0
cds-BAB33885.1	BA000007.3	494492	494773	+	282	0
cds-BAB33886.1	BA000007.3	494861	495208	+	348	680
cds-BAB33887.1	BA000007.3	495385	496269	-	885	1158
cds-BAB33888.2	BA000007.3	496568	497107	-	540	234
cds-BAB33889.1	BA000007.3	497258	497707	+	450	857
cds-BAB33890.1	BA000007.3	497711	498814	+	1104	1924
cds-BAB33891.1	BA000007.3	498903	499373	+	471	1867
cds-BAB33892.1	BA000007.3	499393	499812	+	420	2000
