# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_glyc_1Aligned.sortedByCoord.out.bam
cds-CAA92238.1	CU329670.1;CU329670.1;CU329670.1	271020;272170;272257	272116;272190;272323	-;-;-	1185	390
cds-CAA92237.1	CU329670.1	273152	274921	+	1770	68
cds-CAA92236.1	CU329670.1	275089	276549	+	1461	103
cds-CAA92234.1	CU329670.1	278599	281145	-	2547	818
cds-CAA92235.1	CU329670.1	276893	278365	+	1473	278
cds-CAA92233.1	CU329670.1	281949	282404	+	456	45
cds-CAA92232.1	CU329670.1	283476	289001	+	5526	524
cds-CAA92231.1	CU329670.1;CU329670.1	289952;290187	289985;291301	+;+	1149	352
cds-CAA92230.1	CU329670.1	292260	293738	-	1479	1875
cds-CAA92229.2	CU329670.1	294902	298786	-	3885	434
cds-CAA90594.1	CU329670.1;CU329670.1;CU329670.1	299628;301436;301588	301263;301520;301711	-;-;-	1845	215
cds-CAA90593.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	303161;303334;303716;303852	303231;303640;303793;304019	+;+;+;+	624	368
cds-CAA90596.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	304463;304674;304771;304919;305000	304535;304731;304860;304955;305029	+;+;+;+;+	288	37
cds-CAA90592.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	305723;305812;306090;306316;306468	305764;305876;306210;306419;306591	+;+;+;+;+	456	162
cds-CAA90591.1	CU329670.1	306964	307947	-	984	89
cds-CAA90590.2	CU329670.1;CU329670.1	308381;309751	309719;309806	-;-	1395	239
cds-CAA90589.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	310659;310837;311299;311371	310790;311180;311331;311434	-;-;-;-	573	575
cds-CAA90588.2	CU329670.1;CU329670.1	312182;312274	312212;313586	+;+	1344	207
cds-CAA90587.1	CU329670.1	314030	315214	+	1185	165
cds-CAA90586.1	CU329670.1	315707	317197	+	1491	110
cds-CAA91510.3	CU329670.1;CU329670.1;CU329670.1	317431;317514;318221	317469;318172;318941	-;-;-	1419	75
cds-CAB55873.1	CU329670.1	319974	321503	+	1530	121
cds-CAI79317.1	CU329670.1	321924	323978	+	2055	399
cds-CAA91507.1	CU329670.1;CU329670.1;CU329670.1	324194;324462;325225	324407;325166;325280	-;-;-	975	196
cds-CAA91506.1	CU329670.1;CU329670.1;CU329670.1	326694;326942;327498	326856;327391;327982	+;+;+	1098	138
cds-CAA91505.1	CU329670.1	328222	329484	-	1263	456
cds-CAA91504.1	CU329670.1	329810	332743	-	2934	392
cds-CBA11489.1	CU329670.1;CU329670.1	333214;333291	333239;333441	+;+	177	26
cds-CAA91503.1	CU329670.1	333695	334336	-	642	149
cds-CAA91502.1	CU329670.1;CU329670.1	334660;334830	334782;335945	+;+	1239	413
cds-CAA91501.1	CU329670.1	336428	337519	+	1092	137
cds-CAA91500.1	CU329670.1	338392	338883	+	492	90
cds-CAA91499.1	CU329670.1	340107	341855	-	1749	1194
cds-CAA91498.1	CU329670.1	343399	345129	-	1731	528
cds-CAB55874.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	345839;346114;346307;346544	346051;346244;346439;346618	-;-;-;-	552	69
cds-CAA91496.2	CU329670.1	347195	349912	+	2718	442
cds-CAB52726.1	CU329670.1	352427	352927	-	501	152
cds-CAB52725.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	350477;350575;350671;351295;351960	350511;350598;351199;351894;352055	+;+;+;+;+	1284	624
cds-CAB52728.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	356233;356511;356635;356984	356433;356592;356904;356997	-;-;-;-	567	112
cds-CAB52727.1	CU329670.1	353900	356131	+	2232	756
cds-CAB52729.1	CU329670.1	357593	358885	-	1293	112
cds-CAB52730.1	CU329670.1	360060	360962	-	903	509
cds-CAC35074.1	CU329670.1	361557	361874	+	318	7
cds-CAB52731.1	CU329670.1	362769	363602	-	834	196
cds-CAB52732.1	CU329670.1	365550	366362	+	813	138
cds-CAB52733.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	366801;366873;366968;367105;367293;367395	366817;366891;367040;367189;367348;367531	+;+;+;+;+;+	387	124
cds-CAB52734.1	CU329670.1	368572	369840	+	1269	149
cds-CAB52735.1	CU329670.1	369945	373964	-	4020	447
cds-CAK9837126.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	374683;376094;376844;376993	375830;376446;376931;377116	-;-;-;-	1713	392
cds-CAB61447.1	CU329670.1	378192	380354	-	2163	144
cds-CAD29730.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	384320;384480;384986;385125	384349;384590;385060;385220	+;+;+;+	312	55
cds-CAB61448.2	CU329670.1;CU329670.1;CU329670.1	385755;385938;386107	385887;386043;386149	-;-;-	282	108
cds-CAB61449.2	CU329670.1;CU329670.1;CU329670.1	386344;386458;386786	386394;386614;387786	+;+;+	1209	1046
cds-CAA90460.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	388400;388452;388721;388859	388415;388621;388813;388960	+;+;+;+	381	56
cds-CAA90461.1	CU329670.1;CU329670.1	389543;389617	389564;390245	+;+	651	190
cds-CAA90462.1	CU329670.1	390589	391173	-	585	184
cds-CAA90463.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	391838;391956;392652;392828;394656;395167;396546;396781	391915;392612;392787;394611;395123;396502;396741;396889	-;-;-;-;-;-;-;-	4764	342
cds-CAA90464.1	CU329670.1	397709	399337	+	1629	285
cds-CAA90465.1	CU329670.1;CU329670.1	399548;401972	401871;402194	-;-	2547	359
cds-CAA90467.1	CU329670.1;CU329670.1;CU329670.1	403813;405138;405241	405079;405202;405249	-;-;-	1341	86
cds-CAA90466.1	CU329670.1	403060	403545	+	486	111
cds-CAA90468.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	405802;405964;406134;406268;406503	405924;406032;406168;406460;407465	+;+;+;+;+	1383	111
cds-CAA90469.1	CU329670.1	408030	409265	-	1236	65
cds-CAA90470.1	CU329670.1	412084	413874	+	1791	248
cds-CAA90471.1	CU329670.1;CU329670.1	414471;414684	414629;414800	-;-	276	65
cds-CAA90472.1	CU329670.1;CU329670.1	415406;415763	415685;418371	+;+	2889	718
cds-CAA90473.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	418475;418759;419268;419602	418720;419220;419502;419732	-;-;-;-	1074	214
cds-CAA90474.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	420466;422926;423199;423357	422887;423153;423307;423903	+;+;+;+	3306	301
cds-CAA90475.2	CU329670.1	424477	425223	-	747	608
cds-CAA90453.1	CU329670.1;CU329670.1;CU329670.1	426030;426106;426364	426069;426322;427342	+;+;+	1236	190
cds-CAA90454.1	CU329670.1;CU329670.1;CU329670.1	427583;427986;428653	427943;428590;429318	+;+;+	1632	92
cds-CAA90455.1	CU329670.1	430130	430876	+	747	143
cds-CAA90456.1	CU329670.1;CU329670.1;CU329670.1	431562;433028;433154	432982;433113;433203	-;-;-	1557	504
cds-CAA90457.1	CU329670.1;CU329670.1	434524;434876	434831;435101	-;-	534	211
cds-CAA90458.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	436214;436430;437006;437624;437853	436381;436935;437580;437807;438369	+;+;+;+;+	1950	439
cds-CAA93113.1	CU329670.1	443569	445263	+	1695	191
cds-CAK9837154.1	CU329670.1;CU329670.1	446770;449295	449241;450530	+;+	3708	573
cds-CAA93115.3	CU329670.1	451210	452919	-	1710	425
cds-CAA90857.1	CU329670.1	457061	459676	-	2616	617
cds-CAA90856.1	CU329670.1	461939	463273	+	1335	219
cds-CAA90855.1	CU329670.1	465299	468175	+	2877	324
cds-CAA90854.1	CU329670.1	468720	469826	+	1107	635
cds-CAA90853.1	CU329670.1;CU329670.1	470583;472858	472802;472899	-;-	2262	395
cds-CAA90852.1	CU329670.1	474035	474697	-	663	29
cds-CAA90851.1	CU329670.1;CU329670.1	475493;476099	476053;476113	-;-	576	807
cds-CAA90850.3	CU329670.1;CU329670.1	476549;478655	478606;478696	-;-	2100	155
cds-CAA90849.1	CU329670.1	479750	481540	-	1791	155
cds-CAA90848.1	CU329670.1	483447	484901	-	1455	1072
cds-CAA90847.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	485960;486188;486649;486867;486984;487133;488574	486131;486597;486822;486931;487093;488517;488615	-;-;-;-;-;-;-	2358	276
cds-CAA90846.1	CU329670.1;CU329670.1	488779;489074	489029;489350	+;+	528	58
cds-CAA90845.4	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	490016;490338;490812;490979;491186;491905	490262;490771;490931;491149;491858;492011	+;+;+;+;+;+	1752	175
cds-CAC36891.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	492461;492512;492673;494423;494667	492476;492630;494385;494615;497689	+;+;+;+;+	5064	1300
cds-CAC36892.1	CU329670.1;CU329670.1	498171;498215	498173;498730	+;+	519	115
cds-CAC36893.2	CU329670.1	499284	500405	-	1122	84
cds-CBA11490.1	CU329670.1;CU329670.1	501117;501366	501248;501485	-;-	252	56
cds-CAB61451.1	CU329670.1	501767	502384	-	618	64
cds-CAB61452.1	CU329670.1	502978	504093	-	1116	135
cds-CAB61453.1	CU329670.1	505053	505592	+	540	39
cds-CAB61454.1	CU329670.1	505984	506355	+	372	110
cds-CAB61455.1	CU329670.1	506543	507292	+	750	135
cds-CAB61456.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	508136;508203;509563;509648	508159;509485;509603;509691	-;-;-;-	1392	358
cds-CAB61457.1	CU329670.1;CU329670.1;CU329670.1	510669;510780;511167	510720;511070;511336	-;-;-	513	132
cds-CAB61458.1	CU329670.1	511807	513060	+	1254	115
cds-CAB61459.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	513831;513908;514046;514244	513858;513998;514169;514345	+;+;+;+	345	264
cds-CAK9837182.1	CU329670.1;CU329670.1;CU329670.1	514552;515222;515534	515082;515482;515608	-;-;-	867	399
cds-CAB61461.1	CU329670.1;CU329670.1	515797;515896	515833;517247	+;+	1389	114
cds-CAB61462.1	CU329670.1	517865	518443	-	579	122
cds-CAB61463.1	CU329670.1;CU329670.1	520933;521215	521133;521721	+;+	708	61
cds-CAB61464.1	CU329670.1	523246	525867	+	2622	389
cds-CAB61465.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	528003;528124;528326;528567;528673	528064;528269;528460;528625;528771	-;-;-;-;-	501	39
cds-CAB61466.1	CU329670.1	529801	530166	-	366	103
cds-CAB61467.1	CU329670.1	530522	531628	+	1107	298
cds-CAA90489.1	CU329670.1	532432	533409	-	978	110
cds-CAA90490.1	CU329670.1	534462	537725	-	3264	374
cds-CAA90491.1	CU329670.1;CU329670.1;CU329670.1	538395;538675;539365	538628;539322;539847	+;+;+	1365	40
cds-CAA90492.1	CU329670.1	540125	541312	-	1188	1376
cds-CAA90493.1	CU329670.1	542037	543557	-	1521	146
cds-CAA90494.1	CU329670.1	544417	546240	-	1824	300
cds-CAK9837196.1	CU329670.1	546664	548460	-	1797	209
cds-CAA90496.1	CU329670.1	548768	550243	-	1476	91
cds-CAA90497.1	CU329670.1	551011	552939	+	1929	162
cds-CAA90498.1	CU329670.1	556631	558220	+	1590	62
cds-CAA90500.1	CU329670.1	559317	560504	-	1188	200
cds-CAA90501.1	CU329670.1	560978	561967	-	990	107
cds-CAA90502.1	CU329670.1;CU329670.1	564170;564553	564464;565034	+;+	777	134
cds-CAA90503.1	CU329670.1	565168	569277	-	4110	1604
cds-CAA90504.1	CU329670.1;CU329670.1;CU329670.1	570236;570549;570885	570406;570647;571805	+;+;+	1191	184
cds-CAA90505.2	CU329670.1;CU329670.1	571994;574269	574224;574371	-;-	2334	578
cds-CAA90803.1	CU329670.1	575135	576622	-	1488	601
cds-CAA90804.1	CU329670.1;CU329670.1	578521;578681	578586;579247	+;+	633	169
cds-CAA90805.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	579720;579835;579953;580296;581084;581295	579789;579899;580250;580983;581216;581390	-;-;-;-;-;-	1350	271
cds-CAA90806.1	CU329670.1	582492	584033	+	1542	336
cds-CAA90807.2	CU329670.1	585597	587312	+	1716	69
cds-CAA93159.1	CU329670.1	588925	590259	+	1335	410
cds-CAA93160.1	CU329670.1;CU329670.1	591067;591418	591246;591555	+;+	318	36
cds-CAA93161.1	CU329670.1	592743	593759	+	1017	361
cds-CAA93162.1	CU329670.1;CU329670.1;CU329670.1	593977;594771;594900	594731;594859;597277	-;-;-	3222	241
cds-CAA93163.1	CU329670.1	598916	600184	+	1269	276
cds-CAA93164.1	CU329670.1;CU329670.1;CU329670.1	600883;601327;601475	601282;601425;601485	-;-;-	510	87
cds-CAA93165.1	CU329670.1	602060	603751	-	1692	127
cds-CAA93166.1	CU329670.1;CU329670.1;CU329670.1	604496;605015;605438	604959;605355;606849	-;-;-	2217	111
cds-CAA93167.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	608992;609199;609698;609884	609150;609501;609820;610159	+;+;+;+	861	514
cds-CAA93168.2	CU329670.1;CU329670.1	610886;611211	611152;613277	+;+	2334	757
cds-CAA94620.1	CU329670.1	613498	616848	-	3351	582
cds-CAA94621.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	617844;617993;618471;620420	617945;618422;620376;620996	+;+;+;+	3015	407
cds-CAA94622.1	CU329670.1;CU329670.1	621189;621989	621852;622191	-;-	867	249
cds-CAA94623.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	623272;623375;623518;623752	623305;623462;623593;625086	+;+;+;+	1533	217
cds-CAA94624.1	CU329670.1	625430	631303	-	5874	2045
cds-CAA94625.1	CU329670.1;CU329670.1	631556;632499	632424;632841	-;-	1212	68
cds-CAA94626.1	CU329670.1	633148	633474	-	327	0
cds-CAA94627.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	634937;635069;635349;636234;636385	634971;635235;636176;636314;636959	+;+;+;+;+	1686	377
cds-CAA94628.1	CU329670.1	637023	639311	-	2289	309
cds-CAA94629.3	CU329670.1	639411	640175	+	765	80
cds-CAB56126.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	640399;640997;641281;641448	640947;641184;641401;641627	-;-;-;-	1038	301
cds-CAA93212.1	CU329670.1;CU329670.1	641885;642218	642131;643512	-;-	1542	169
cds-CAA93214.1	CU329670.1;CU329670.1	646593;647730	647677;647808	-;-	1164	71
cds-CAA93213.1	CU329670.1;CU329670.1;CU329670.1	644711;644750;644929	644713;644881;646377	+;+;+	1584	1038
cds-CAA93215.1	CU329670.1;CU329670.1;CU329670.1	648301;648614;648890	648501;648829;649393	-;-;-	921	84
cds-CAK9837236.1	CU329670.1;CU329670.1	650488;651193	650545;651848	+;+	714	108
cds-CAA93218.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	652359;652576;652763;653222	652529;652698;653178;653234	-;-;-;-	723	103
cds-CAA93219.1	CU329670.1;CU329670.1	653774;654196	654158;656240	+;+	2430	250
cds-CAD29835.2	CU329670.1	656760	658832	-	2073	269
cds-CAA93221.1	CU329670.1	664782	667100	+	2319	388
cds-CAA93222.1	CU329670.1	668153	669175	+	1023	565
cds-CAA93223.2	CU329670.1;CU329670.1	670379;670483	670427;675320	+;+	4887	1536
cds-CAA91078.1	CU329670.1	675539	678238	-	2700	446
cds-CAA91077.1	CU329670.1	680176	681621	+	1446	190
cds-CAK9837245.1	CU329670.1;CU329670.1;CU329670.1	682874;682995;683160	682996;683109;683446	+;+;+	523	70
cds-CAA91075.1	CU329670.1;CU329670.1	684010;684345	684093;686270	+;+	2010	450
cds-CAA91074.1	CU329670.1;CU329670.1	686593;686989	686824;688730	+;+	1974	230
cds-CAA91073.1	CU329670.1	689483	690928	+	1446	142
cds-CAA91072.1	CU329670.1;CU329670.1;CU329670.1	691530;691706;691853	691656;691803;691984	+;+;+	357	74
cds-CBA11491.1	CU329670.1;CU329670.1	692567;692849	692725;693061	+;+	372	49
cds-CAA91071.1	CU329670.1	693831	697034	+	3204	1494
cds-CAA91070.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	697291;697401;697496;697621;697805;697928	697355;697455;697568;697766;697885;698068	+;+;+;+;+;+	561	70
cds-CAK9837253.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	698033;698223;698480;698884;699148;699410;702603	698177;698441;698841;699104;699363;702557;702755	-;-;-;-;-;-;-	4464	297
cds-CAA91068.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	703789;704015;704205;704322;704573;704816;704925;705095;705195;705333;705529;705637;706292;706404;706688	703967;704113;704280;704536;704763;704889;705056;705158;705293;705490;705601;706252;706361;706652;706828	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2436	99
cds-CAA91067.1	CU329670.1	706844	707473	-	630	25
cds-CAA91066.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	708055;708168;708979;709428;709745;709896	708127;708931;709339;709644;709830;710023	-;-;-;-;-;-	1629	777
cds-CAB36508.1	CU329670.1;CU329670.1	711301;711768	711412;712150	+;+	495	290
cds-CAB36509.1	CU329670.1	712491	714014	-	1524	76
cds-CAB36510.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1	715480;715583;715994;716223	715535;715721;716146;716621	+;+;+;+	747	41
cds-CAB36511.1	CU329670.1;CU329670.1	716940;717674	717585;717804	-;-	777	187
cds-CAB62421.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	721617;722288;722542;723063	722243;722493;722995;723425	-;-;-;-	1650	225
cds-CAB36512.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	719447;719663;719791;719926;720066	719581;719740;719888;720024;721410	+;+;+;+;+	1755	193
cds-CAB62422.1	CU329670.1;CU329670.1;CU329670.1	724289;724378;724506	724325;724418;725720	+;+;+	1293	275
cds-CAB62423.3	CU329670.1;CU329670.1;CU329670.1	726081;727846;727987	727731;727901;728076	-;-;-	1797	432
cds-CAA91126.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	728420;728494;728664;730726;731004;731227;731369;731616	728452;728619;730685;730963;731188;731322;731550;731706	+;+;+;+;+;+;+;+	2973	320
cds-CAA91127.1	CU329670.1	731938	732648	+	711	64
cds-CAA91128.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	732880;732942;733085;733369;733536;734151;735495	732897;733040;733251;733495;734113;735457;736465	+;+;+;+;+;+;+	3267	397
cds-CAA91129.1	CU329670.1;CU329670.1	736797;737165	737037;738720	+;+	1797	99
cds-CAA91130.1	CU329670.1	739300	746034	-	6735	3378
cds-CAA91131.2	CU329670.1	747143	748402	-	1260	226
cds-CAA91132.1	CU329670.1;CU329670.1	749930;750113	749995;751588	+;+	1542	137
